,id_chamado,id_origem_ocorrencia,data_inicio,data_fim,id_bairro,id_territorialidade,id_logradouro,numero_logradouro,id_unidade_organizacional,nome_unidade_organizacional,id_unidade_organizacional_mae,unidade_organizacional_ouvidoria,categoria,id_tipo,tipo,id_subtipo,subtipo,status,longitude,latitude,data_alvo_finalizacao,data_alvo_diagnostico,data_real_diagnostico,tempo_prazo,prazo_unidade,prazo_tipo,dentro_prazo,situacao,tipo_situacao,justificativa_status,reclamacoes,data_particao
0,4509130,13,2014-08-01 03:09:28,2014-11-06 14:39:11,61,3,83477,611,749,SMH - Secretaria Municipal de Habitação,SMH - Secretaria Municipal de Habitação,False,Serviço,766,Regularização de imóvel em comunidades,2684,Informações sobre a situação da regularização do imóvel na comunidade,Sem possibilidade de atendimento,-43.2604807,-22.9026421,,,,,,,Fora do prazo,Encerrado,Não atendido,,0,2014-08-01
1,4606605,1,2014-08-22 13:56:50,2014-08-28 13:21:48,76,3,117762,175,706,Ouvidoria SMDS,Ouvidoria Geral,True,Serviço,418,Atendimento Social,1909,Solicitação de atendimento social no domicílio,Fechado com solução,,,2014-08-28 13:21:48,2014-09-12 13:56:00,2014-08-28 13:21:48,,D,F,No prazo,Encerrado,Atendido,,0,2014-08-01
2,4611728,1,2014-08-24 14:24:38,2014-09-30 10:48:21,15,2,71837,120,979,1ª SGCO/DARB,FPJ - Fundação Parques e Jardins,False,Serviço,682,Arborização,2522,Solicitação de plantio de árvore em área pública,Fechado com solução,-43.1742723,-22.9287397,2014-09-30 10:48:21,2014-10-23 14:24:00,2014-09-30 10:48:21,,D,F,No prazo,Encerrado,Atendido,,0,2014-08-01
3,4536558,1,2014-08-07 11:18:35,2014-08-14 10:35:13,17,2,76695,97,979,1ª SGCO/DARB,FPJ - Fundação Parques e Jardins,False,Serviço,682,Arborização,2522,Solicitação de plantio de árvore em área pública,Fechado com solução,-43.1831445,-22.9381985,2014-08-14 10:35:13,2014-10-06 11:18:00,2014-08-14 10:35:13,,D,F,No prazo,Encerrado,Atendido,,0,2014-08-01
4,4621401,1,2014-08-26 12:04:19,2014-10-09 09:57:43,25,2,83683,98,979,1ª SGCO/DARB,FPJ - Fundação Parques e Jardins,False,Serviço,682,Arborização,2522,Solicitação de plantio de árvore em área pública,Fechado com solução,-43.1979566,-22.9845255,2014-10-09 09:57:43,2014-10-25 12:04:00,2014-10-09 09:57:43,,D,F,No prazo,Encerrado,Atendido,,0,2014-08-01
5,4600311,1,2014-08-21 13:19:46,2014-11-04 13:23:56,20,2,83840,326,979,1ª SGCO/DARB,FPJ - Fundação Parques e Jardins,False,Serviço,682,Arborização,2522,Solicitação de plantio de árvore em área pública,Fechado com solução,,,2014-11-04 13:23:56,2014-10-20 13:19:00,2014-11-04 13:23:56,,D,F,No prazo,Encerrado,Atendido,,0,2014-08-01
6,4522035,11,2014-08-04 15:51:49,2014-09-30 10:43:23,15,2,75804,40,979,1ª SGCO/DARB,FPJ - Fundação Parques e Jardins,False,Serviço,682,Arborização,2522,Solicitação de plantio de árvore em área pública,Fechado com solução,-43.1860085,-22.5163527,2014-09-30 10:43:23,2014-10-03 15:51:00,2014-09-30 10:43:23,,D,F,No prazo,Encerrado,Atendido,,0,2014-08-01
7,4564568,11,2014-08-13 19:09:42,2015-02-19 11:00:12,24,2,64428,112,979,1ª SGCO/DARB,FPJ - Fundação Parques e Jardins,False,Serviço,682,Arborização,2522,Solicitação de plantio de árvore em área pública,Fechado com solução,-43.1940319,-22.9836637,2015-02-19 11:00:12,2014-10-12 19:09:00,2015-02-19 11:00:12,,D,F,No prazo,Encerrado,Atendido,,0,2014-08-01
8,4589984,11,2014-08-19 18:07:11,2014-09-30 10:51:40,24,2,68882,300,979,1ª SGCO/DARB,FPJ - Fundação Parques e Jardins,False,Serviço,682,Arborização,2522,Solicitação de plantio de árvore em área pública,Fechado com solução,-43.1790487,-22.9660826,2014-09-30 10:51:40,2014-10-18 18:07:00,2014-09-30 10:51:40,,D,F,No prazo,Encerrado,Atendido,,0,2014-08-01
9,4608426,11,2014-08-22 19:27:50,2014-09-30 10:39:52,26,2,72686,365,979,1ª SGCO/DARB,FPJ - Fundação Parques e Jardins,False,Serviço,682,Arborização,2522,Solicitação de plantio de árvore em área pública,Fechado com solução,-43.2252618,-22.9841858,2014-09-30 10:39:52,2014-10-21 19:27:00,2014-09-30 10:39:52,,D,F,No prazo,Encerrado,Atendido,,0,2014-08-01
