id_estacao,estacao,latitude,longitude,cota,x,y,endereco,situacao,data_inicio_operacao,data_fim_operacao,data_atualizacao
1,Vidigal,-22.9925,-43.23306,85.0,681138532.0,7456241298.0,"Hotel Sheraton - Av. Niemeyer,121",Operante,,,
2,Urca,-22.95583,-43.16667,90.0,688004213.0,7460236157.0,"Instituto Militar de Engenharia - Av. Pasteur,35",Operante,,,
3,Rocinha,-22.98583,-43.245,160.0,679831802.0,7457041035.0,"Região Administrativa - Estrada da Gávea,242",Operante,,,
4,Tijuca,-22.93194,-43.22167,340.0,682358108.0,7462941416.0,"Centro de Estudos do Sumaré - Estrada do Sumaré,670",Operante,,,
5,Santa teresa,-22.93167,-43.19639,170.0,684951792.0,7462971838.0,"Escola Estadual Monteiro de Carvalho - Rua Almirante Alexandrino,2495",Operante,,,
6,Copacabana,-22.98639,-43.18944,90.0,685675.03,7456902449.0,"Hotel Sofitel - Av. Atlântica,4240",Operante,,,
7,Grajau,-22.92222,-43.2675,80.0,677639269.0,7463809403.0,"Grajaú Country Clube - Rua Professor Valadares,262",Operante,,,
8,Ilha do governador,-22.81806,-43.21028,0.0,683708659.0,7475959609.0,"Iate Clube Jardim Guanabara - Rua Orestes Barbosa,229",Operante,,,
9,Penha,-22.84444,-43.27528,111.0,677059917.0,7472757104.0,"Irmandade de N. S. da Penha de França - Largo da Penha,19",Operante,,,
10,Madureira,-22.87333,-43.33889,45.0,670409679.0,7469665.02,"Edifício Pólo I - Estrada do Portela,99",Operante,,,
11,Iraja,-22.82694,-43.33694,20.0,670692602.0,7474733927.0,"Ceasa - Av. Brasil,19001",Operante,,,
12,Bangu,-22.88028,-43.46583,15.0,657403761.0,7468956662.0,"Cassino Bangu - Rua Fonseca,534",Operante,,,
13,Piedade,-22.89182,-43.31005,50.0,673344642.0,7467452646.0,"Hospital Municipal da Piedade - Rua da Capela,96",Operante,,,
14,Tanque,-22.9125,-43.36472,73.0,667541219.0,7465482186.0,"Inst. Est. de Dermatologia Sanitária - Rua Godofredo Viana,64",Operante,,,
15,Saude,-22.89606,-43.18786,15.0,685875072.0,7466833239.0,"Hospital Federal dos Servidores do Estado - Rua Sacadura Cabral,178",Operante,,,
16,Jardim botanico,-22.97278,-43.22389,0.0,682133.53,7458453116.0,"Jóquei Clube - Rua Jardim Botânico,1003",Operante,,,
17,Barrinha,-23.00849,-43.29965,7.0,674262081.0,7454520709.0,"Rua Major Rolinda da Silva,65",Operante,,,
18,Cidade de deus,-22.94556,-43.36278,15.0,667928198.0,7461632847.0,"Telemar - Estrada Mal. Salazar de Moraes,1409",Operante,,,
19,Riocentro,-22.97721,-43.39155,0.0,664879.4,7458100.0,"Parque Olímpico da Barra - Av. Embaixador Abelardo Bueno - Barra da Tijuca,S/N",Operante,,,
20,Guaratiba,-23.05028,-43.59472,0.0,643972241.0,7450214.26,"Campo de Provas Marambaia - Estrada Roberto Burle Marx,9140",Operante,,,
21,Grajau jacarepagua,-22.92556,-43.31583,105.0,672722551.0,7463726025.0,"Hospital Cardoso Fontes - Av. Menezes Cortes,3245",Operante,,,
22,Santa cruz,-22.90944,-43.68444,15.0,634915936.0,7465594315.0,"IBEComb - Praça Ruão ,S/N",Operante,,,
23,Grande meier,-22.89056,-43.27806,25.0,676628743.0,7467665546.0,"Paróquia Sto. Antônio de Pádua - Rua Tenente França,141",Operante,,,
24,Anchieta,-22.82694,-43.40333,50.0,663886431.0,7474809856.0,"Esc. Municipal Cyro Monteiro - Rua Antúria ,31",Operante,,,
25,Grota funda,-23.01444,-43.52139,11.0,651526394.0,7454108412.0,"Base Operacional da Transoeste - Entrada Recreio do Túnel da Grota Funda - Recreio dos Bandeirantes,S/N",Operante,,,
26,Campo grande,-22.90361,-43.56194,30.0,647538728.0,7466493819.0,"Centro Universitário Moacyr Sreder Bastos - Rua Eng. Trindade,229",Operante,,,
27,Sepetiba,-22.96889,-43.71167,62.0,632068601.0,7459406612.0,"Base Aérea de Santa Cruz - Rua do Império,S/N",Operante,,,
28,Alto da boa vista,-22.96583,-43.27833,355.0,676494085.0,7459222483.0,"Rua Boa Vista,196",Operante,,,
29,Av brasil mendanha,-22.85694,-43.54111,30.0,649669378.0,7471561078.0,"Escola Municipal Casemiro de Abreu - Estrada do Mendanha,4842",Operante,,,
30,Recreio,-23.01,-43.44056,10.0,659816802.0,7454514151.0,"Avenida Baltazar da Silveira,335",Operante,,,
31,Laranjeiras,-22.94056,-43.1875,60.0,685883625.0,7462252656.0,"1a. CIPM - Rua Cardoso Junior,479",Operante,,,
32,Sao cristovao,-22.89667,-43.22167,25.0,682404.96,7466817174.0,"GEORIO - Rua Campo de São Cristóvão,268",Operante,,,
33,Tijuca muda,-22.93278,-43.24333,31.0,680136137.0,7462851843.0,"Escola Municipal Soares Pereira - Av. Maracanã,1450",Operante,,,
40,Gericino,,,,,,,Nao operante,,,
41,Itanhanga,,,,,,,Nao operante,,,
42,Mendanha,,,,,,,Nao operante,,,
43,Sumare,,,,,,,Nao operante,,,
