id_estacao,estacao,latitude,longitude
1,Adeus 1,-22.8636,-43.2636
2,Alemão 1,-22.8547,-43.2725
3,Andaraí 1,-22.9327,-43.2567
4,Baiana 1,-22.8595,-43.2657
5,Barão 1,-22.9023,-43.3434
6,Borel 2,-22.9405,-43.2531
7,Borel 3,-22.9315,-43.2515
8,Cabritos 1,-22.9647,-43.195
9,Cachoeirinha 1,-22.914,-43.2822
10,Cantagalo 1,-22.9808,-43.1969
11,Caracol 1,-22.8443,-43.2905
12,Cariri 1,-22.8483,-43.2805
13,Catumbi 1 ,-22.9214,-43.1967
14,Centro de Operações,-22.9122,-43.2038
15,Chácara do Céu 1,-22.9901,-43.2325
16,Chacrinha 1,-22.9263,-43.2196
17,Chapéu Mangueira 1,-22.9605,-43.1679
18,Comandante Luiz Souto 1,-22.9017,-43.3594
19,Cotia 1,-22.9178,-43.2817
20,Engenho da Rainha 2,-22.8711,-43.2894
21,Escondidinho 1,-22.9324,-43.2012
22,Espírito Santo 1 ,-22.89,-43.3439
23,Fazenda Catete 1 ,-22.925,-43.1825
24,Formiga 1,-22.9423,-43.2432
25,Guaíba 1 / Vila Pequiri,-22.8344,-43.2953
26,Guararapes 1,-22.9447,-43.208
27,Ignácio Dias 1,-22.9164,-43.3422
28,Jamelão 2,-22.9333,-43.2611
29,Jardim do Carmo 1,-22.8514,-43.3045
30,Joaquim de Queiroz 1,-22.8598,-43.2795
31,Julio Otoni 1,-22.9336,-43.1939
32,Juramento 2,-22.8575,-43.313
33,Ladeira dos Tabajaras,-22.9617,-43.188
34,Liberdade 1,-22.9266,-43.218
35,Macacos 1,-22.912,-43.2526
36,Mangueira 1 ,-22.9043,-43.2388
37,Matinha 1,-22.9255,-43.2155
38,Matriz 1,-22.9046,-43.264
39,Mineiros 1,-22.875278,-43.305833
40,Morro da Fé 1 ,-22.8456,-43.2978
41,Morro do Céu 2 / Pretos Forros 1,-22.9135,-43.2942
42,Nossa Senhora da Guia 1,-22.9142,-43.2852
43,Nova Brasilia 1,-22.8645,-43.2756
44,Nova Divinéia 1,-22.9295,-43.2654
45,Ocidental Fallet 1 ,-22.9262,-43.1918
46,Ouro Preto 2 ,-22.9166,-43.2979
47,Palmeiras 2,-22.8641,-43.283
48,Parque Alvorada 2,-22.8652,-43.2805
49,Parque Candelária 1,-22.9056,-43.2341
50,Parque João Paulo II 1,-22.9291,-43.2623
51,Parque Nova Maracá 1,-22.8606,-43.3027
52,Parque Silva Vale 3,-22.8683,-43.3133
53,Parque Vila Isabel 2,-22.9159,-43.2591
54,Pavão-Pavãozinho 2,-22.9797,-43.1914
55,Piancó 2 ,-22.8651,-43.2586
56,Prazeres 1,-22.934,-43.2032
57,Relicário 1,-22.86,-43.2864
58,Rio das Pedras 2,-22.9717,-43.3319
59,Rocinha 1,-22.9896,-43.2519
60,Rocinha 4,-22.9899,-43.2471
61,Rocinha 8,-22.9841,-43.2488
62,Rua Brício de Moraes 1,-22.8633,-43.3111
63,Rua Quiririm 2 ,-22.8886,-43.3569
64,Salgueiro 1,-22.9302,-43.226
65,Santa Alexandrina 1 / Paula Ramos,-22.9357,-43.2127
66,Santa Marta 1,-22.9478,-43.1936
67,Santos Rodrigues 2 / Azevedo Lima 1,-22.9226,-43.2035
68,São Carlos 1 ,-22.9181,-43.2008
69,São João 2,-22.908,-43.2667
70,São João 4,-22.9119,-43.2635
71,São Miguel Arcanjo 1,-22.8606,-43.3317
72,Sapê 1,-22.8575,-43.333
73,Sereno 1,-22.8414,-43.2933
74,Sítio Pai João 1,-22.9911,-43.3114
75,Sumaré 1,-22.9313,-43.2169
76,Tuiuti 2 / Telégrafos,-22.8985,-43.2347
77,Unidos de Santa Tereza 3,-22.9269,-43.1994
78,Urubu 2,-22.8766,-43.3011
79,Vidigal 3 ,-22.9974,-43.2422
80,Vila Cabuçu 1 / Barro Preto,-22.9147,-43.2757
81,Vila Cruzeiro 1 ,-22.8522,-43.2783
82,Vila José de Anchieta 1,-22.8928,-43.3432
83,Vila Pereira da Silva 1,-22.9307,-43.1914
