id,geometry
88a8a06f63fffff,"POLYGON((-43.2420967316789 -22.8231893861192, -43.2379273554118 -22.8201854972514, -43.2388398625673 -22.8155042989472, -43.2439216736046 -22.8138270236237, -43.2480910184853 -22.8168309799615, -43.2471785837269 -22.8215121441412, -43.2420967316789 -22.8231893861192))"
88a8a062e9fffff,"POLYGON((-43.3497327042963 -22.9539640365954, -43.3455622953259 -22.9509678239999, -43.3464741231422 -22.9462932399105, -43.3515562869684 -22.9446149036132, -43.3557266628943 -22.9476111841614, -43.3548149080503 -22.9522857330427, -43.3497327042963 -22.9539640365954))"
88a8a07417fffff,"POLYGON((-43.4732744339289 -22.9787143905261, -43.4691036993936 -22.9757224641473, -43.4700145593403 -22.9710487467382, -43.4750960802321 -22.9693669921188, -43.4792667798332 -22.9723589867662, -43.4783559934884 -22.977032667753, -43.4732744339289 -22.9787143905261))"
88a8a0762bfffff,"POLYGON((-43.4656034985688 -23.0424373171134, -43.4614323531843 -23.0394475163548, -43.4623433673779 -23.0347772749291, -43.4674254533897 -23.0330968706052, -43.4715965639502 -23.0360867397328, -43.4706856233346 -23.0407569448038, -43.4656034985688 -23.0424373171134))"
88a8a074bbfffff,"POLYGON((-43.5059662283184 -22.9329037891267, -43.5017957587246 -22.9299110831845, -43.5027062859004 -22.9252347734257, -43.5077872089258 -22.9235512063351, -43.5119576430913 -22.9265439805324, -43.5110471896715 -22.9312202535536, -43.5059662283184 -22.9329037891267))"
88a8a3d349fffff,"POLYGON((-43.1088066026336 -22.7751334634684, -43.1046377959675 -22.7721242413729, -43.1055512993845 -22.7674410128214, -43.1106335377703 -22.7657670391528, -43.1148023150921 -22.7687763283388, -43.1138888833842 -22.7734595240913, -43.1088066026336 -22.7751334634684))"
88a8a0654bfffff,"POLYGON((-43.3966307217178 -22.859700510075, -43.3924608665907 -22.8567021450244, -43.3933721789332 -22.8520223037885, -43.398453273227 -22.8503408632445, -43.4026230946032 -22.8533392961711, -43.4017118554482 -22.8580191017542, -43.3966307217178 -22.859700510075))"
88a8a07423fffff,"POLYGON((-43.4395244073307 -22.9811353345121, -43.435353697487 -22.9781425711226, -43.4362648358772 -22.9734691107968, -43.4413466106907 -22.971788449941, -43.4455172861154 -22.9747812815296, -43.4446062211574 -22.9794547057633, -43.4395244073307 -22.9811353345121))"
88a8a02a95fffff,"POLYGON((-43.6806681929658 -22.9142881061899, -43.6764976954313 -22.9112995216178, -43.6774067598227 -22.9066215921681, -43.6824862471311 -22.9049322857316, -43.6866567065743 -22.9079209389129, -43.685747716812 -22.9125988299101, -43.6806681929658 -22.9142881061899))"
88a8a02915fffff,"POLYGON((-43.5511631090054 -22.8960425321643, -43.5469928356938 -22.8930497181901, -43.547902939989 -22.8883712599655, -43.5529832436327 -22.8866856528813, -43.5571534808304 -22.8896785351412, -43.55624345051 -22.8943569561881, -43.5511631090054 -22.8960425321643))"
