primary_key,id_estacao,data_medicao,altura_agua,data_particao
5_2024-03-22 23:30:00,5,2024-03-22 23:30:00,0.78,2024-03-22
5_2024-03-22 23:15:00,5,2024-03-22 23:15:00,0.7,2024-03-22
5_2024-03-22 23:45:00,5,2024-03-22 23:45:00,0.91,2024-03-22
2_2024-03-22 21:45:00,2,2024-03-22 21:45:00,1.0,2024-03-22
2_2024-03-22 21:30:00,2,2024-03-22 21:30:00,1.02,2024-03-22
2_2024-03-22 22:00:00,2,2024-03-22 22:00:00,0.98,2024-03-22
2_2024-03-22 21:15:00,2,2024-03-22 21:15:00,1.02,2024-03-22
2_2024-03-22 20:15:00,2,2024-03-22 20:15:00,0.78,2024-03-22
2_2024-03-22 20:45:00,2,2024-03-22 20:45:00,0.92,2024-03-22
2_2024-03-22 20:30:00,2,2024-03-22 20:30:00,0.84,2024-03-22
2_2024-03-22 21:00:00,2,2024-03-22 21:00:00,0.98,2024-03-22
2_2024-03-22 15:30:00,2,2024-03-22 15:30:00,0.75,2024-03-22
2_2024-03-22 15:00:00,2,2024-03-22 15:00:00,0.75,2024-03-22
2_2024-03-22 09:00:00,2,2024-03-22 09:00:00,0.36,2024-03-22
2_2024-03-22 14:45:00,2,2024-03-22 14:45:00,0.72,2024-03-22
2_2024-03-22 13:30:00,2,2024-03-22 13:30:00,0.47,2024-03-22
2_2024-03-22 08:15:00,2,2024-03-22 08:15:00,0.33,2024-03-22
2_2024-03-22 07:15:00,2,2024-03-22 07:15:00,0.33,2024-03-22
2_2024-03-22 07:45:00,2,2024-03-22 07:45:00,0.33,2024-03-22
2_2024-03-22 08:00:00,2,2024-03-22 08:00:00,0.33,2024-03-22
2_2024-03-22 07:30:00,2,2024-03-22 07:30:00,0.33,2024-03-22
2_2024-03-22 06:45:00,2,2024-03-22 06:45:00,0.33,2024-03-22
2_2024-03-22 07:00:00,2,2024-03-22 07:00:00,0.33,2024-03-22
2_2024-03-22 06:30:00,2,2024-03-22 06:30:00,0.33,2024-03-22
2_2024-03-22 06:15:00,2,2024-03-22 06:15:00,0.33,2024-03-22
2_2024-03-22 06:00:00,2,2024-03-22 06:00:00,0.33,2024-03-22
2_2024-03-22 05:45:00,2,2024-03-22 05:45:00,0.33,2024-03-22
2_2024-03-22 05:30:00,2,2024-03-22 05:30:00,0.33,2024-03-22
2_2024-03-22 05:15:00,2,2024-03-22 05:15:00,0.33,2024-03-22
2_2024-03-22 04:45:00,2,2024-03-22 04:45:00,0.33,2024-03-22
2_2024-03-22 05:00:00,2,2024-03-22 05:00:00,0.33,2024-03-22
2_2024-03-22 04:30:00,2,2024-03-22 04:30:00,0.33,2024-03-22
2_2024-03-22 04:15:00,2,2024-03-22 04:15:00,0.33,2024-03-22
2_2024-03-22 03:15:00,2,2024-03-22 03:15:00,0.33,2024-03-22
2_2024-03-22 03:45:00,2,2024-03-22 03:45:00,0.33,2024-03-22
2_2024-03-22 04:00:00,2,2024-03-22 04:00:00,0.33,2024-03-22
2_2024-03-22 03:30:00,2,2024-03-22 03:30:00,0.33,2024-03-22
2_2024-03-22 02:30:00,2,2024-03-22 02:30:00,0.33,2024-03-22
2_2024-03-22 02:45:00,2,2024-03-22 02:45:00,0.33,2024-03-22
2_2024-03-22 02:00:00,2,2024-03-22 02:00:00,0.33,2024-03-22
2_2024-03-22 01:30:00,2,2024-03-22 01:30:00,0.33,2024-03-22
2_2024-03-22 00:45:00,2,2024-03-22 00:45:00,0.33,2024-03-22
2_2024-03-22 00:15:00,2,2024-03-22 00:15:00,0.33,2024-03-22
2_2024-03-22 00:30:00,2,2024-03-22 00:30:00,0.33,2024-03-22
2_2024-03-22 01:00:00,2,2024-03-22 01:00:00,0.33,2024-03-22
2_2024-03-22 00:00:00,2,2024-03-22 00:00:00,0.33,2024-03-22
2_2024-03-22 01:45:00,2,2024-03-22 01:45:00,0.33,2024-03-22
2_2024-03-22 01:15:00,2,2024-03-22 01:15:00,0.33,2024-03-22
2_2024-03-22 03:00:00,2,2024-03-22 03:00:00,0.33,2024-03-22
2_2024-03-22 02:15:00,2,2024-03-22 02:15:00,0.33,2024-03-22
2_2024-03-22 13:00:00,2,2024-03-22 13:00:00,0.44,2024-03-22
2_2024-03-22 17:00:00,2,2024-03-22 17:00:00,0.6,2024-03-22
2_2024-03-22 14:15:00,2,2024-03-22 14:15:00,0.6,2024-03-22
2_2024-03-22 11:30:00,2,2024-03-22 11:30:00,0.41,2024-03-22
2_2024-03-22 19:00:00,2,2024-03-22 19:00:00,0.57,2024-03-22
2_2024-03-22 18:45:00,2,2024-03-22 18:45:00,0.57,2024-03-22
2_2024-03-22 17:45:00,2,2024-03-22 17:45:00,0.57,2024-03-22
2_2024-03-22 14:00:00,2,2024-03-22 14:00:00,0.54,2024-03-22
2_2024-03-22 10:15:00,2,2024-03-22 10:15:00,0.38,2024-03-22
2_2024-03-22 10:00:00,2,2024-03-22 10:00:00,0.38,2024-03-22
2_2024-03-22 09:15:00,2,2024-03-22 09:15:00,0.38,2024-03-22
2_2024-03-22 09:30:00,2,2024-03-22 09:30:00,0.38,2024-03-22
2_2024-03-22 15:15:00,2,2024-03-22 15:15:00,0.76,2024-03-22
2_2024-03-22 13:45:00,2,2024-03-22 13:45:00,0.49,2024-03-22
2_2024-03-22 08:45:00,2,2024-03-22 08:45:00,0.35,2024-03-22
2_2024-03-22 12:45:00,2,2024-03-22 12:45:00,0.43,2024-03-22
2_2024-03-22 16:45:00,2,2024-03-22 16:45:00,0.61,2024-03-22
2_2024-03-22 17:30:00,2,2024-03-22 17:30:00,0.58,2024-03-22
2_2024-03-22 17:15:00,2,2024-03-22 17:15:00,0.58,2024-03-22
2_2024-03-22 11:00:00,2,2024-03-22 11:00:00,0.4,2024-03-22
2_2024-03-22 10:45:00,2,2024-03-22 10:45:00,0.4,2024-03-22
2_2024-03-22 11:15:00,2,2024-03-22 11:15:00,0.4,2024-03-22
2_2024-03-22 09:45:00,2,2024-03-22 09:45:00,0.37,2024-03-22
2_2024-03-22 20:00:00,2,2024-03-22 20:00:00,0.74,2024-03-22
2_2024-03-22 19:45:00,2,2024-03-22 19:45:00,0.71,2024-03-22
2_2024-03-22 15:45:00,2,2024-03-22 15:45:00,0.71,2024-03-22
2_2024-03-22 08:30:00,2,2024-03-22 08:30:00,0.34,2024-03-22
2_2024-03-22 16:00:00,2,2024-03-22 16:00:00,0.68,2024-03-22
2_2024-03-22 14:30:00,2,2024-03-22 14:30:00,0.68,2024-03-22
2_2024-03-22 13:15:00,2,2024-03-22 13:15:00,0.45,2024-03-22
2_2024-03-22 19:30:00,2,2024-03-22 19:30:00,0.65,2024-03-22
2_2024-03-22 16:15:00,2,2024-03-22 16:15:00,0.65,2024-03-22
2_2024-03-22 16:30:00,2,2024-03-22 16:30:00,0.62,2024-03-22
2_2024-03-22 12:30:00,2,2024-03-22 12:30:00,0.42,2024-03-22
2_2024-03-22 12:15:00,2,2024-03-22 12:15:00,0.42,2024-03-22
2_2024-03-22 12:00:00,2,2024-03-22 12:00:00,0.42,2024-03-22
2_2024-03-22 11:45:00,2,2024-03-22 11:45:00,0.42,2024-03-22
