,id_estacao,data_medicao,acumulado_chuva_10_min,acumulado_chuva_1_h,acumulado_chuva_3_h,acumulado_chuva_6_h,acumulado_chuva_12_h,acumulado_chuva_24_h,acumulado_chuva_48_h,acumulado_chuva_72_h,acumulado_chuva_96_h,data_particao,primary_key
0,7606,2023-12-31 23:50:00,0.0,0.0,0.0,0.0,0.0,3.6,28.6,28.6,28.6,2023-12-31,7606_2023-12-31 23:50:00
1,3043,2023-12-31 23:30:00,0.0,0.0,0.0,0.0,0.0,0.99,5.92,5.92,5.92,2023-12-31,3043_2023-12-31 23:30:00
2,7601,2023-12-31 23:20:00,0.0,0.0,0.0,0.0,0.2,3.4,26.8,26.8,26.8,2023-12-31,7601_2023-12-31 23:20:00
3,7593,2023-12-31 23:10:00,0.0,0.0,0.0,0.0,0.0,3.0,15.8,15.8,15.8,2023-12-31,7593_2023-12-31 23:10:00
4,3215,2023-12-31 23:00:00,0.0,0.0,0.0,0.0,0.0,2.37,2.77,2.77,2.77,2023-12-31,3215_2023-12-31 23:00:00
5,7606,2023-12-31 22:50:00,0.0,0.0,0.0,0.0,0.0,3.6,28.6,28.6,28.6,2023-12-31,7606_2023-12-31 22:50:00
6,3043,2023-12-31 22:30:00,0.0,0.0,0.0,0.0,0.0,0.99,5.92,5.92,5.92,2023-12-31,3043_2023-12-31 22:30:00
7,7603,2023-12-31 22:20:00,0.0,0.0,0.0,0.0,0.0,2.2,3.4,3.4,3.4,2023-12-31,7603_2023-12-31 22:20:00
8,7601,2023-12-31 22:20:00,0.0,0.0,0.0,0.0,0.2,3.4,26.8,26.8,26.8,2023-12-31,7601_2023-12-31 22:20:00
9,7593,2023-12-31 22:10:00,0.0,0.0,0.0,0.0,0.6000000000000001,3.0,15.8,15.8,15.8,2023-12-31,7593_2023-12-31 22:10:00
10,3215,2023-12-31 22:00:00,0.0,0.0,0.0,0.0,0.0,2.5700000000000003,2.77,2.77,2.77,2023-12-31,3215_2023-12-31 22:00:00
11,7606,2023-12-31 21:50:00,0.0,0.0,0.0,0.0,0.0,3.6,28.6,28.6,28.6,2023-12-31,7606_2023-12-31 21:50:00
12,3043,2023-12-31 21:30:00,0.0,0.0,0.0,0.0,0.79,0.99,5.92,5.92,5.92,2023-12-31,3043_2023-12-31 21:30:00
13,7603,2023-12-31 21:20:00,0.0,0.0,0.0,0.0,0.0,2.2,3.4,3.4,3.4,2023-12-31,7603_2023-12-31 21:20:00
14,7595,2023-12-31 04:30:00,0.0,0.0,0.0,0.2,0.2,6.0,6.0,6.0,6.2,2023-12-31,7595_2023-12-31 04:30:00
15,7595,2023-12-31 00:50:00,0.2,0.2,0.2,0.2,0.4,6.0,6.0,6.0,6.6,2023-12-31,7595_2023-12-31 00:50:00
16,7595,2023-12-31 01:30:00,0.0,0.2,0.2,0.2,0.2,6.0,6.0,6.0,6.6,2023-12-31,7595_2023-12-31 01:30:00
17,7595,2023-12-31 02:30:00,0.0,0.0,0.2,0.2,0.2,6.0,6.0,6.0,6.6,2023-12-31,7595_2023-12-31 02:30:00
18,7595,2023-12-31 03:30:00,0.0,0.0,0.2,0.2,0.2,6.0,6.0,6.0,6.6,2023-12-31,7595_2023-12-31 03:30:00
19,7611,2023-12-31 05:20:00,0.2,0.2,0.2,0.6000000000000001,0.8,6.0,6.0,6.0,6.2,2023-12-31,7611_2023-12-31 05:20:00
20,7611,2023-12-31 15:10:00,0.0,0.2,0.2,0.2,2.2,3.0,8.0,8.0,8.0,2023-12-31,7611_2023-12-31 15:10:00
21,7611,2023-12-31 14:10:00,0.0,0.2,0.2,0.2,2.2,3.4,8.0,8.0,8.0,2023-12-31,7611_2023-12-31 14:10:00
22,7611,2023-12-31 14:00:00,0.2,0.2,0.2,0.2,2.2,3.4,8.0,8.0,8.0,2023-12-31,7611_2023-12-31 14:00:00
23,7593,2023-12-31 00:20:00,0.2,0.2,0.2,0.2,0.8,13.0,13.0,13.0,15.2,2023-12-31,7593_2023-12-31 00:20:00
24,7593,2023-12-31 01:10:00,0.0,0.2,0.2,0.2,0.8,13.0,13.0,13.0,14.6,2023-12-31,7593_2023-12-31 01:10:00
25,7593,2023-12-31 02:10:00,0.0,0.0,0.2,0.2,0.2,13.0,13.0,13.0,14.6,2023-12-31,7593_2023-12-31 02:10:00
26,7593,2023-12-31 03:10:00,0.0,0.0,0.2,0.2,0.2,13.0,13.0,13.0,14.6,2023-12-31,7593_2023-12-31 03:10:00
27,7593,2023-12-31 04:10:00,0.0,0.0,0.0,0.2,0.2,13.0,13.0,13.0,14.6,2023-12-31,7593_2023-12-31 04:10:00
28,7593,2023-12-31 05:10:00,0.0,0.0,0.0,0.2,0.2,13.0,13.0,13.0,14.2,2023-12-31,7593_2023-12-31 05:10:00
29,7593,2023-12-31 06:10:00,0.0,0.0,0.0,0.2,0.2,13.0,13.0,13.0,13.4,2023-12-31,7593_2023-12-31 06:10:00
30,7601,2023-12-31 00:30:00,0.2,1.6,1.6,1.6,1.6,25.0,25.0,25.0,28.4,2023-12-31,7601_2023-12-31 00:30:00
31,7606,2023-12-31 07:50:00,0.0,0.0,0.0,0.0,0.0,5.0,25.0,25.0,25.0,2023-12-31,7606_2023-12-31 07:50:00
32,7606,2023-12-31 00:50:00,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,29.8,2023-12-31,7606_2023-12-31 00:50:00
33,7606,2023-12-31 01:50:00,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,29.6,2023-12-31,7606_2023-12-31 01:50:00
34,7606,2023-12-31 02:50:00,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,29.6,2023-12-31,7606_2023-12-31 02:50:00
35,7606,2023-12-31 03:50:00,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,29.6,2023-12-31,7606_2023-12-31 03:50:00
36,7606,2023-12-31 04:50:00,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,28.0,2023-12-31,7606_2023-12-31 04:50:00
37,7606,2023-12-31 05:50:00,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,26.4,2023-12-31,7606_2023-12-31 05:50:00
38,7606,2023-12-31 06:50:00,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,2023-12-31,7606_2023-12-31 06:50:00
39,3045,2023-12-31 07:50:00,0.2,0.2,0.6000000000000001,0.6000000000000001,0.6000000000000001,3.8,6.76,6.76,6.76,2023-12-31,3045_2023-12-31 07:50:00
40,3045,2023-12-31 08:20:00,0.0,0.2,0.6000000000000001,0.6000000000000001,0.6000000000000001,3.6,6.76,6.76,6.76,2023-12-31,3045_2023-12-31 08:20:00
41,3215,2023-12-31 21:00:00,0.0,0.0,0.0,0.0,0.2,2.5700000000000003,2.77,2.77,2.77,2023-12-31,3215_2023-12-31 21:00:00
42,3215,2023-12-31 20:00:00,0.0,0.0,0.0,0.0,0.2,2.5700000000000003,2.77,2.77,2.77,2023-12-31,3215_2023-12-31 20:00:00
43,3215,2023-12-31 19:00:00,0.0,0.0,0.0,0.0,0.2,2.5700000000000003,2.77,2.77,2.77,2023-12-31,3215_2023-12-31 19:00:00
44,3215,2023-12-31 18:00:00,0.0,0.0,0.0,0.0,0.2,2.5700000000000003,2.77,2.77,2.77,2023-12-31,3215_2023-12-31 18:00:00
45,3215,2023-12-31 17:00:00,0.0,0.0,0.0,0.0,2.17,2.77,2.77,2.77,2.77,2023-12-31,3215_2023-12-31 17:00:00
46,3215,2023-12-31 16:00:00,0.0,0.0,0.0,0.0,2.17,2.77,2.77,2.77,2.77,2023-12-31,3215_2023-12-31 16:00:00
47,3215,2023-12-31 15:00:00,0.0,0.0,0.0,0.2,2.17,2.77,2.77,2.77,2.77,2023-12-31,3215_2023-12-31 15:00:00
48,3215,2023-12-31 14:00:00,0.0,0.0,0.0,0.2,2.17,2.77,2.77,2.77,2.77,2023-12-31,3215_2023-12-31 14:00:00
49,3215,2023-12-31 13:00:00,0.0,0.0,0.0,0.2,2.17,2.77,2.77,2.77,2.77,2023-12-31,3215_2023-12-31 13:00:00
50,3215,2023-12-31 12:00:00,0.0,0.0,0.2,0.2,2.17,2.77,2.77,2.77,2.77,2023-12-31,3215_2023-12-31 12:00:00
51,3215,2023-12-31 11:00:00,0.0,0.0,0.2,2.17,2.37,2.77,2.77,2.77,2.77,2023-12-31,3215_2023-12-31 11:00:00
52,3215,2023-12-31 10:00:00,0.0,0.2,0.2,2.17,2.5700000000000003,2.77,2.77,2.77,2.77,2023-12-31,3215_2023-12-31 10:00:00
53,7603,2023-12-31 20:20:00,0.0,0.0,0.0,0.0,0.2,2.2,3.4,3.4,3.4,2023-12-31,7603_2023-12-31 20:20:00
54,7603,2023-12-31 19:20:00,0.0,0.0,0.0,0.0,0.2,2.2,3.4,3.4,3.4,2023-12-31,7603_2023-12-31 19:20:00
55,7603,2023-12-31 17:20:00,0.0,0.0,0.0,0.0,0.8,2.2,3.4,3.4,3.4,2023-12-31,7603_2023-12-31 17:20:00
56,7603,2023-12-31 16:20:00,0.0,0.0,0.0,0.0,1.6,2.2,3.4,3.4,3.4,2023-12-31,7603_2023-12-31 16:20:00
57,7603,2023-12-31 15:20:00,0.0,0.0,0.0,0.0,1.6,2.2,3.4,3.4,3.4,2023-12-31,7603_2023-12-31 15:20:00
58,7603,2023-12-31 14:20:00,0.0,0.0,0.0,0.2,1.6,2.2,3.4,3.4,3.4,2023-12-31,7603_2023-12-31 14:20:00
59,7603,2023-12-31 13:20:00,0.0,0.0,0.0,0.2,1.6,2.2,3.4,3.4,3.4,2023-12-31,7603_2023-12-31 13:20:00
60,7603,2023-12-31 12:20:00,0.0,0.0,0.0,0.2,1.6,2.2,3.4,3.4,3.4,2023-12-31,7603_2023-12-31 12:20:00
61,7603,2023-12-31 11:20:00,0.0,0.0,0.2,0.8,1.6,2.2,3.4,3.4,3.4,2023-12-31,7603_2023-12-31 11:20:00
62,7603,2023-12-31 10:20:00,0.0,0.0,0.2,1.6,2.2,2.4,3.4,3.4,3.4,2023-12-31,7603_2023-12-31 10:20:00
63,7603,2023-12-31 18:20:00,0.0,0.0,0.0,0.0,0.2,2.2,3.4,3.4,3.4,2023-12-31,7603_2023-12-31 18:20:00
64,7611,2023-12-31 13:10:00,0.0,0.0,0.0,0.0,2.0,4.0,7.8,7.8,7.8,2023-12-31,7611_2023-12-31 13:10:00
65,7611,2023-12-31 12:10:00,0.0,0.0,0.0,0.2,2.0,4.2,7.8,7.8,7.8,2023-12-31,7611_2023-12-31 12:10:00
66,7611,2023-12-31 11:10:00,0.0,0.0,0.0,2.0,2.4,6.8,7.8,7.8,7.8,2023-12-31,7611_2023-12-31 11:10:00
67,7611,2023-12-31 09:10:00,0.0,0.0,0.4,2.0,2.4,6.8,7.8,7.8,8.0,2023-12-31,7611_2023-12-31 09:10:00
68,7611,2023-12-31 06:00:00,0.2,2.0,2.0,2.0,2.6,7.8,7.8,7.8,8.0,2023-12-31,7611_2023-12-31 06:00:00
69,7611,2023-12-31 06:20:00,0.0,2.0,2.0,2.0,2.6,7.8,7.8,7.8,8.0,2023-12-31,7611_2023-12-31 06:20:00
70,7611,2023-12-31 07:10:00,0.0,0.4,2.0,2.0,2.6,7.8,7.8,7.8,8.0,2023-12-31,7611_2023-12-31 07:10:00
71,7611,2023-12-31 08:10:00,0.0,0.0,2.0,2.0,2.6,7.8,7.8,7.8,8.0,2023-12-31,7611_2023-12-31 08:10:00
72,7611,2023-12-31 10:10:00,0.0,0.0,0.0,2.0,2.4,6.8,7.8,7.8,8.0,2023-12-31,7611_2023-12-31 10:10:00
73,7614,2023-12-31 08:40:00,0.0,0.0,2.2,2.2,2.2,2.2,9.6,9.6,9.6,2023-12-31,7614_2023-12-31 08:40:00
74,7614,2023-12-31 06:40:00,0.0,2.2,2.2,2.2,2.2,9.6,9.6,9.6,9.6,2023-12-31,7614_2023-12-31 06:40:00
75,7614,2023-12-31 05:50:00,0.4,2.2,2.2,2.2,2.2,9.6,9.6,9.6,9.8,2023-12-31,7614_2023-12-31 05:50:00
76,7614,2023-12-31 07:40:00,0.0,0.0,2.2,2.2,2.2,4.2,9.6,9.6,9.6,2023-12-31,7614_2023-12-31 07:40:00
77,7606,2023-12-31 08:50:00,0.4,3.2,3.2,3.2,3.2,5.4,28.2,28.2,28.2,2023-12-31,7606_2023-12-31 08:50:00
78,3045,2023-12-31 07:20:00,0.0,0.2,0.4,0.4,0.4,4.99,6.5600000000000005,6.5600000000000005,6.5600000000000005,2023-12-31,3045_2023-12-31 07:20:00
