id_estacao,data_medicao,acumulado_chuva_15_min,acumulado_chuva_1_h,acumulado_chuva_4_h,acumulado_chuva_24_h,acumulado_chuva_96_h,acumulado_chuva_30_d,data_particao,primary_key
5,2024-03-23 20:00:00,0.0,0.2,0.4,23.2,74.2,74.6,2024-03-23,5_2024-03-23 20:00:00
4,2024-03-23 20:15:00,0.2,0.8,1.2,18.6,71.0,71.4,2024-03-23,4_2024-03-23 20:15:00
4,2024-03-23 20:00:00,0.2,0.6,1.0,19.4,70.8,71.2,2024-03-23,4_2024-03-23 20:00:00
5,2024-03-23 20:15:00,0.2,0.4,0.6,21.4,74.4,74.8,2024-03-23,5_2024-03-23 20:15:00
2,2024-03-23 18:45:00,0.0,0.4,1.4,46.8,98.6,98.6,2024-03-23,2_2024-03-23 18:45:00
2,2024-03-23 18:15:00,0.0,1.0,1.4,51.6,98.6,98.6,2024-03-23,2_2024-03-23 18:15:00
2,2024-03-23 18:30:00,0.0,1.0,1.4,49.0,98.6,98.6,2024-03-23,2_2024-03-23 18:30:00
2,2024-03-23 19:00:00,0.2,0.2,1.6,45.6,98.8,98.8,2024-03-23,2_2024-03-23 19:00:00
1,2024-03-23 20:15:00,0.0,0.0,0.4,39.4,69.2,69.2,2024-03-23,1_2024-03-23 20:15:00
1,2024-03-23 20:00:00,0.0,0.0,0.4,41.2,69.2,69.2,2024-03-23,1_2024-03-23 20:00:00
1,2024-03-23 19:45:00,0.0,0.0,0.4,45.0,69.2,69.2,2024-03-23,1_2024-03-23 19:45:00
1,2024-03-23 19:30:00,0.0,0.0,0.6,45.0,69.2,69.2,2024-03-23,1_2024-03-23 19:30:00
1,2024-03-23 19:00:00,0.0,0.0,0.6,46.2,69.2,69.2,2024-03-23,1_2024-03-23 19:00:00
1,2024-03-23 19:15:00,0.0,0.0,0.6,45.0,69.2,69.2,2024-03-23,1_2024-03-23 19:15:00
1,2024-03-23 18:45:00,0.0,0.0,0.6,48.0,69.2,69.2,2024-03-23,1_2024-03-23 18:45:00
1,2024-03-23 18:15:00,,0.0,0.6,49.6,69.2,69.2,2024-03-23,1_2024-03-23 18:15:00
1,2024-03-23 18:30:00,0.0,0.0,0.6,49.0,69.2,69.2,2024-03-23,1_2024-03-23 18:30:00
1,2024-03-23 17:45:00,,0.2,0.6,52.4,69.2,69.2,2024-03-23,1_2024-03-23 17:45:00
1,2024-03-23 18:00:00,0.0,0.0,0.6,51.2,69.2,69.2,2024-03-23,1_2024-03-23 18:00:00
1,2024-03-23 17:00:00,0.2,0.4,0.6,56.6,69.2,69.2,2024-03-23,1_2024-03-23 17:00:00
1,2024-03-23 17:30:00,0.0,0.2,0.6,53.0,69.2,69.2,2024-03-23,1_2024-03-23 17:30:00
1,2024-03-23 17:15:00,0.0,0.4,0.6,56.6,69.2,69.2,2024-03-23,1_2024-03-23 17:15:00
1,2024-03-23 16:45:00,,0.2,0.4,57.0,69.0,69.0,2024-03-23,1_2024-03-23 16:45:00
1,2024-03-23 16:15:00,,0.2,0.2,59.8,68.8,68.8,2024-03-23,1_2024-03-23 16:15:00
1,2024-03-23 16:30:00,0.2,0.4,0.4,58.2,69.0,69.0,2024-03-23,1_2024-03-23 16:30:00
1,2024-03-23 16:00:00,0.0,0.2,0.2,59.8,68.8,68.8,2024-03-23,1_2024-03-23 16:00:00
1,2024-03-23 15:45:00,0.2,0.2,0.2,61.6,68.8,68.8,2024-03-23,1_2024-03-23 15:45:00
1,2024-03-23 15:30:00,0.0,0.0,0.0,61.4,68.6,68.6,2024-03-23,1_2024-03-23 15:30:00
1,2024-03-23 15:15:00,0.0,0.0,0.0,61.6,68.6,68.6,2024-03-23,1_2024-03-23 15:15:00
1,2024-03-23 15:00:00,,0.0,0.0,62.0,68.6,68.6,2024-03-23,1_2024-03-23 15:00:00
1,2024-03-23 14:15:00,,0.0,0.0,63.2,68.6,68.6,2024-03-23,1_2024-03-23 14:15:00
1,2024-03-23 14:30:00,0.0,0.0,0.0,63.0,68.6,68.6,2024-03-23,1_2024-03-23 14:30:00
1,2024-03-23 14:45:00,0.0,0.0,0.0,62.6,68.6,68.6,2024-03-23,1_2024-03-23 14:45:00
1,2024-03-23 14:00:00,0.0,0.0,0.0,63.2,68.6,68.6,2024-03-23,1_2024-03-23 14:00:00
1,2024-03-23 13:45:00,0.0,0.0,0.0,63.2,68.6,68.6,2024-03-23,1_2024-03-23 13:45:00
1,2024-03-23 13:30:00,,0.0,0.0,64.6,68.6,68.6,2024-03-23,1_2024-03-23 13:30:00
1,2024-03-23 13:15:00,0.0,0.0,0.0,64.6,68.6,68.6,2024-03-23,1_2024-03-23 13:15:00
1,2024-03-23 12:45:00,,0.0,0.0,65.0,68.6,68.6,2024-03-23,1_2024-03-23 12:45:00
1,2024-03-23 12:30:00,0.0,0.0,0.0,65.8,68.6,68.6,2024-03-23,1_2024-03-23 12:30:00
1,2024-03-23 13:00:00,0.0,0.0,0.0,64.8,68.6,68.6,2024-03-23,1_2024-03-23 13:00:00
1,2024-03-23 12:15:00,0.0,0.0,0.0,65.8,68.6,68.6,2024-03-23,1_2024-03-23 12:15:00
1,2024-03-23 12:00:00,0.0,0.0,0.0,66.2,68.6,68.6,2024-03-23,1_2024-03-23 12:00:00
1,2024-03-23 11:45:00,,0.0,0.0,66.8,68.6,68.6,2024-03-23,1_2024-03-23 11:45:00
1,2024-03-23 11:30:00,0.0,0.0,0.2,66.8,68.6,68.6,2024-03-23,1_2024-03-23 11:30:00
1,2024-03-23 11:15:00,0.0,0.0,0.2,67.2,68.6,68.6,2024-03-23,1_2024-03-23 11:15:00
1,2024-03-23 11:00:00,0.0,0.0,0.2,67.2,68.6,68.6,2024-03-23,1_2024-03-23 11:00:00
1,2024-03-23 10:45:00,,0.0,0.2,67.6,68.6,68.6,2024-03-23,1_2024-03-23 10:45:00
1,2024-03-23 10:15:00,,0.0,0.2,67.6,68.6,68.6,2024-03-23,1_2024-03-23 10:15:00
1,2024-03-23 10:30:00,0.0,0.0,0.2,67.6,68.6,68.6,2024-03-23,1_2024-03-23 10:30:00
1,2024-03-23 10:00:00,0.0,0.0,0.2,67.6,68.6,68.6,2024-03-23,1_2024-03-23 10:00:00
1,2024-03-23 09:45:00,0.0,0.0,0.2,67.6,68.6,68.6,2024-03-23,1_2024-03-23 09:45:00
1,2024-03-23 09:30:00,0.0,0.0,0.2,67.8,68.6,68.6,2024-03-23,1_2024-03-23 09:30:00
1,2024-03-23 09:15:00,0.0,0.0,0.2,67.8,68.6,68.6,2024-03-23,1_2024-03-23 09:15:00
1,2024-03-23 08:45:00,0.0,0.0,0.2,68.2,68.6,68.6,2024-03-23,1_2024-03-23 08:45:00
1,2024-03-23 09:00:00,0.0,0.0,0.2,68.0,68.6,68.6,2024-03-23,1_2024-03-23 09:00:00
1,2024-03-23 08:30:00,,0.2,0.2,68.2,68.6,68.6,2024-03-23,1_2024-03-23 08:30:00
1,2024-03-23 08:15:00,0.0,0.2,0.2,68.4,68.6,68.6,2024-03-23,1_2024-03-23 08:15:00
1,2024-03-23 08:00:00,,0.2,0.2,68.4,68.6,68.6,2024-03-23,1_2024-03-23 08:00:00
1,2024-03-23 07:45:00,0.2,0.2,0.2,68.4,68.6,68.6,2024-03-23,1_2024-03-23 07:45:00
1,2024-03-23 07:30:00,0.0,0.0,0.0,68.2,68.4,68.4,2024-03-23,1_2024-03-23 07:30:00
1,2024-03-23 07:15:00,0.0,0.0,0.0,68.2,68.4,68.4,2024-03-23,1_2024-03-23 07:15:00
1,2024-03-23 07:00:00,,0.0,0.0,68.2,68.4,68.4,2024-03-23,1_2024-03-23 07:00:00
1,2024-03-23 06:30:00,,0.0,0.0,68.2,68.4,68.4,2024-03-23,1_2024-03-23 06:30:00
