primary_key,id_estacao,acumulado_chuva_15_min,acumulado_chuva_1_h,acumulado_chuva_4_h,acumulado_chuva_24_h,acumulado_chuva_96_h,horario,data_particao
1_2019-06-01 21:45:00,1,0.0,0.4,3.0,3.0,3.0,21:45:00,2019-06-01
1_2019-06-01 16:15:00,1,0.0,0.0,0.0,0.0,0.0,16:15:00,2019-06-01
1_2019-06-01 00:30:00,1,0.0,0.0,0.0,0.0,0.0,00:30:00,2019-06-01
1_2019-06-01 07:45:00,1,0.0,0.0,0.0,0.0,0.0,07:45:00,2019-06-01
1_2019-06-01 16:00:00,1,0.0,0.0,0.0,0.0,0.0,16:00:00,2019-06-01
1_2019-06-01 23:30:00,1,0.0,0.0,3.0,3.0,3.0,23:30:00,2019-06-01
1_2019-06-01 23:00:00,1,0.0,0.0,3.0,3.0,3.0,23:00:00,2019-06-01
1_2019-06-01 03:45:00,1,0.0,0.0,0.0,0.0,0.0,03:45:00,2019-06-01
1_2019-06-01 13:45:00,1,0.0,0.0,0.0,0.0,0.0,13:45:00,2019-06-01
1_2019-06-01 05:00:00,1,0.0,0.0,0.0,0.0,0.0,05:00:00,2019-06-01
1_2019-06-01 12:15:00,1,0.0,0.0,0.0,0.0,0.0,12:15:00,2019-06-01
1_2019-06-01 16:45:00,1,0.0,0.0,0.0,0.0,0.0,16:45:00,2019-06-01
1_2019-06-01 04:15:00,1,0.0,0.0,0.0,0.0,0.0,04:15:00,2019-06-01
1_2019-06-01 09:00:00,1,0.0,0.0,0.0,0.0,0.0,09:00:00,2019-06-01
1_2019-06-01 06:15:00,1,0.0,0.0,0.0,0.0,0.0,06:15:00,2019-06-01
1_2019-06-01 00:45:00,1,0.0,0.0,0.0,0.0,0.0,00:45:00,2019-06-01
1_2019-06-01 13:30:00,1,0.0,0.0,0.0,0.0,0.0,13:30:00,2019-06-01
1_2019-06-01 02:15:00,1,0.0,0.0,0.0,0.0,0.0,02:15:00,2019-06-01
1_2019-06-01 22:30:00,1,0.0,0.0,3.0,3.0,3.0,22:30:00,2019-06-01
1_2019-06-01 11:45:00,1,0.0,0.0,0.0,0.0,0.0,11:45:00,2019-06-01
1_2019-06-01 12:45:00,1,0.0,0.0,0.0,0.0,0.0,12:45:00,2019-06-01
1_2019-06-01 14:15:00,1,0.0,0.0,0.0,0.0,0.0,14:15:00,2019-06-01
1_2019-06-01 17:45:00,1,0.0,0.0,0.0,0.0,0.0,17:45:00,2019-06-01
1_2019-06-01 06:30:00,1,0.0,0.0,0.0,0.0,0.0,06:30:00,2019-06-01
1_2019-06-01 08:00:00,1,0.0,0.0,0.0,0.0,0.0,08:00:00,2019-06-01
