primary_key,id_reservatorio,nome_reservatorio,data_particao,horario,altura_agua
1_2022-11-18_06:04:46+00,1,Bandeira,2022-11-18,06:04:46,1.468
1_2022-11-18_04:00:45+00,1,Bandeira,2022-11-18,04:00:45,1.434
1_2022-11-18_02:01:01+00,1,Bandeira,2022-11-18,02:01:01,1.405
1_2022-11-18_00:06:32+00,1,Bandeira,2022-11-18,00:06:32,1.374
1_2022-11-17_22:00:50+00,1,Bandeira,2022-11-17,22:00:50,1.344
1_2022-11-17_20:00:56+00,1,Bandeira,2022-11-17,20:00:56,1.308
1_2022-11-17_18:00:30+00,1,Bandeira,2022-11-17,18:00:30,1.267
1_2022-11-17_16:00:31+00,1,Bandeira,2022-11-17,16:00:31,1.227
1_2022-11-17_14:00:38+00,1,Bandeira,2022-11-17,14:00:38,1.199
1_2022-11-17_12:00:38+00,1,Bandeira,2022-11-17,12:00:38,1.176
1_2022-11-17_10:01:50+00,1,Bandeira,2022-11-17,10:01:50,1.154
1_2022-11-17_08:00:56+00,1,Bandeira,2022-11-17,08:00:56,1.121
1_2022-11-17_00:06:34+00,1,Bandeira,2022-11-17,00:06:34,0.979
1_2022-11-16_20:08:51+00,1,Bandeira,2022-11-16,20:08:51,1.992
1_2022-11-16_06:01:03+00,1,Bandeira,2022-11-16,06:01:03,1.741
1_2022-11-16_04:43:08+00,1,Bandeira,2022-11-16,04:43:08,1.725
1_2022-11-16_04:03:37+00,1,Bandeira,2022-11-16,04:03:37,1.718
1_2022-11-16_02:01:04+00,1,Bandeira,2022-11-16,02:01:04,1.645
1_2022-11-16_00:00:51+00,1,Bandeira,2022-11-16,00:00:51,1.645
1_2022-11-15_22:01:10+00,1,Bandeira,2022-11-15,22:01:10,1.614
1_2022-11-15_20:00:49+00,1,Bandeira,2022-11-15,20:00:49,1.593
1_2022-11-15_18:00:47+00,1,Bandeira,2022-11-15,18:00:47,1.559
1_2022-11-15_16:00:43+00,1,Bandeira,2022-11-15,16:00:43,1.503
1_2022-11-15_14:00:42+00,1,Bandeira,2022-11-15,14:00:42,1.469
1_2022-11-15_12:00:55+00,1,Bandeira,2022-11-15,12:00:55,1.445
1_2022-11-15_10:01:15+00,1,Bandeira,2022-11-15,10:01:15,1.415
1_2022-11-15_08:00:57+00,1,Bandeira,2022-11-15,08:00:57,1.389
1_2022-11-15_00:00:46+00,1,Bandeira,2022-11-15,00:00:46,1.262
1_2022-11-14_22:00:42+00,1,Bandeira,2022-11-14,22:00:42,1.227
1_2022-11-14_20:00:38+00,1,Bandeira,2022-11-14,20:00:38,1.19
1_2022-11-14_06:10:27+00,1,Bandeira,2022-11-14,06:10:27,2.014
1_2022-11-14_04:21:10+00,1,Bandeira,2022-11-14,04:21:10,1.985
1_2022-11-14_03:20:37+00,1,Bandeira,2022-11-14,03:20:37,1.966
1_2022-11-14_00:01:17+00,1,Bandeira,2022-11-14,00:01:17,1.911
1_2022-11-13_22:01:52+00,1,Bandeira,2022-11-13,22:01:52,1.874
1_2022-11-13_20:01:03+00,1,Bandeira,2022-11-13,20:01:03,1.836
