id_ponto_supervisionado,classe,top_50,causa_alagamento,medida_cor,eliminado,endereco_ponto_supervisionado,bairro,area_planejamento,regiao_administrativa,bacia_hidrografica,sub_bacia_hidrografica,latitude,longitude,utm_x,utm_y,geometry,projeto,data_atualizacao,ano_vigencia
71,Ponto critico,,"Pdmap (37d010) indica  adequacao da calha e desocupacao trecho do faria-timbo proximo a linha amarela (afeta o ponto 50 - av; alem paraiba); o realtorio 53d239 relata como ponto critico de enchentes outro ponto da rua, junto ao no 835. verific",Obra de macrodrenagem,,Rua uranos,Bonsucesso,3.1,X - Ramos,G,Canal do cunha,-22.87348768,-43.25287067,679234.426845,7469422.57808,POINT(-43.25287067 -22.87348768),(PDMAP 37D010) (Relatorio 53D239),2022-01-01,2022
16,Ponto critico,,"Alagamentos nas pistas lateral e central, sentido centro, junto a vila do joao e  na pista lateral de acesso a linha amarela",Obra de microdrenagem,,Avenida brasil (bonsucesso),Manguinhos,3.1,X - Ramos,G,Canal do cunha,-22.87068547,-43.24521149,680024.033531,7469723.54088,POINT(-43.24521149 -22.87068547),_,2022-01-01,2022
87,Ponto critico,34,"Ponto baixo, esta recebendo obras de microdrenagem atualmente para correcao, conforme projeto 3-3-d-3059.",Obra de microdrenagem,,Av borges de medeiros (entre ruas gal garzon e mario ribeiro),Lagoa,2.1,VI - Lagoa,Zs,Lagoa rodrigo de freitas,-22.9728625,-43.21738326,682742.427286,7458374.57333,POINT(-43.21738326 -22.9728625),_,2022-01-01,2022
88,Ponto critico,35,"Insuficiencia das redes de micro e macrodrenagem, alem de ponto baixo na rua jardim botanico. projeto 3-3-d-2797 necessita revisao considerando obra parcial realizada em 2020.",Obra de macrodrenagem,,Rua jardim botanico / rua gal garzon,Jardim botanico,2.1,VI - Lagoa,Zs,Lagoa rodrigo de freitas,-22.96743433,-43.22026438,682454.295987,7458979.25647,POINT(-43.22026438 -22.96743433),(Projeto 33D2797),2022-01-01,2022
90,Ponto critico,,"Prever limpeza e desassoreamento de ralos, ramais e rede, principalmente o longo trecho de galeria 1,00 x 1,00 que cruza a praca. consultar cadastro 2-3-d-1099. parte dos problemas da praca santos dumont foram solucionados com a implantacao do projet",Limpeza e obra de microdrenagem,,Praca santos dumont,Gavea,2.1,VI - Lagoa,Zs,Lagoa rodrigo de freitas,-22.97347927,-43.22592556,681865.703191,7458316.88853,POINT(-43.22592556 -22.97347927),(Cadastro 2-3-D-1099),2022-01-01,2022
26,Ponto critico,,"O rio arapogi e insuficiente no trecho.  o pdmap preve reservatorio na rua itabira com bento cardoso ou readequacao da secao.  como recebe influencia do na do rio iraja, este tambem devera ser redimensionado.",Obra de macrodrenagem,,Rio arapogi,Bras de pina,3.1,XI - Penha,G,Rio iraja/canal da penha,-22.82683428,-43.28873756,675614.072392,7474631.80559,POINT(-43.28873756 -22.82683428),(Ver PDMAP),2022-01-01,2022
8,Ponto critico,,"Constava como pm, mas e ponto critico atualmente",Obra de micro e de macrodrenagem,2012,Rua dos invalidos (entre rua do senado e av mem de sa),Centro,1,II - Centro,G,Marina da gloria,-22.91075391,-43.18498125,686149.799935,7465211.61962,POINT(-43.18498125 -22.91075391),_,2022-01-01,2022
65,Ponto critico,,"Implantar melhorias previstas no estudo 43d538, que requer melhorias na av. passos (43d467) para funcionamento adequado, sendo atualizado em funcao da calha do vlt implantada",Obra de microdrenagem,,Praca tiradentes,Centro,1,II - Centro,G,Canal do mangue,-22.90648633,-43.18234547,686426.028515,7465680.86349,POINT(-43.18234547 -22.90648633),(Estudos 43D538 / 43D467),2022-01-01,2022
7,Ponto critico,,"Sistema de drenagem muito antigo e inadequado; implantacao do projeto 3-3-d-2037 e possiveis revisoes, mas antes precisa corrigir o ponto critico de jusante na rua teixeira de freitas",Obra de microdrenagem,,Rua do riachuelo,Centro,1,II - Centro,G,Marina da gloria,-22.91455584,-43.18727689,685909.113957,7464793.50722,POINT(-43.18727689 -22.91455584),(Projeto 3-3-D-2037),2022-01-01,2022
64,Ponto critico,44,Para correcao do problema e necessaria a retirada de interferencia da rede existente com a adutora da cedae e implantacao do projeto de drenagem vigente (3-3-d-1269) e possiveis revisoes.,Remocao de inteferencia/ obra de microdrenagem,,Rua teixeira de freitas,Centro,1,II - Centro,G,Marina da gloria,-22.91322776,-43.17818889,686843.201894,7464929.05912,POINT(-43.17818889 -22.91322776),(Projeto 3-3-D-1269),2022-01-01,2022
45,Ponto critico,,Necesssita melhor encaixe da vazao do rio nas galerias do brt; ampliacao de secao do rio quitungo na av. meriti; e implantacao de pequenos reservatorios na bacia (53d520),Obra de macrodrenagem,,Rio quitungo (prc aquidauana - desague rio iraja),Vila da penha,3.3,XIV - Iraja,G,Rio iraja/canal da penha,-22.84386384,-43.30907412,673505.050634,7472770.1504,POINT(-43.30907412 -22.84386384),(Projeto 53D520),2022-01-01,2022
19,Ponto critico,,"A estrada esta implantada parte em talvegue que contribui para ao rio dos cachorros i, e parte em talvegue que contribui para o rio lucas. bacia cachorros i: o relatorio 53d207 indica que as obras a jusante da bacia foram implantadas, faltando as inter",Obra de microdrenagem,,Estrada da agua grande,Iraja,3.3,XIV - Iraja,G,Rios acari/pavuna/meriti,-22.82522766,-43.3134693,673077.551162,7474838.91873,POINT(-43.3134693 -22.82522766),(Relatorio 53D207) (Estudo 43D598) (Projetos 33D1629  / 33D2286),2022-01-01,2022
154,Ponto critico,,"Restricao na travessia do rio quitungo na praca aquidauana (galerias implantadas pelo brt desviaram parte da vazao e aliviaram um pouco o problema), somado ao escoamento superficial da rua aieira. alem das melhorias previstas na travessia do rio qui",Obra de macrodrenagem,,Rua soldado bernardino / rua aiera / praca aquidauana,Vila kosmos,3.3,XIV - Iraja,G,Rio iraja/canal da penha,-22.85105779,-43.30629957,673780.65827,7471970.28582,POINT(-43.30629957 -22.85105779),(Projetos 53D520 / 33D2213),2022-01-01,2022
34,Ponto critico,,"Implantar o projeto da vala da ceasa 4-3-d-409. este curso d'agua sofre influencia do rio dos cachorros ii e no pdmap e prevista a construcao do reservatorio rc-2 de amortecimento de cheias na estrada do portinho, em frente ao ceasa (53d506).",Obra de microdrenagem,,Rio dos cachorros ii (vala da ceasa) / praca violante bivar,Iraja,3.3,XIV - Iraja,G,Rios acari/pavuna/meriti,-22.83117301,-43.33404873,670957.76976,7474204.56813,POINT(-43.33404873 -22.83117301),(Projetos 4-3-D-409  / 53D506) / Ver PDMAP,2022-01-01,2022
81,Ponto critico,,"Previsto reservatorio rio faria 1 , a montante, retardando a cheia no local.",Obra de macrodrenagem,,Rio faria - trecho 6  (rua carandai),Piedade,3.2,XIII - Meier,G,Canal do cunha,-22.90348921,-43.3110566,673225.915281,7466170.05892,POINT(-43.3110566 -22.90348921),_,2022-01-01,2022
43,Ponto critico,, adequacao hidraulica e reservatorio jacare rj-1 no engenho novo previstos no pdmap 37d011.,Obra de macrodrenagem,,Rio jacare (engenho novo),Engenho novo,3.2,XIII - Meier,G,Canal do cunha,-22.90897375,-43.2696066,677470.976226,7465513.33891,POINT(-43.2696066 -22.90897375),(PDMAP 37D011),2022-01-01,2022
153,Ponto critico,,Ha reclamacoes para esse trecho.  a galeria esta embaixo das casas.  e necessario a elaboracao de estudo para o local.,Realizar estudo,,Rio dos frangos (rua borja reis / rua eulina ribeiro e entorno),Engenho de dentro,3.2,XIII - Meier,G,Canal do cunha,-22.90417027,-43.2999276,674366.7205,7466081.49932,POINT(-43.2999276 -22.90417027),_,2022-01-01,2022
